country,who_region,year,incidence_100k,incidence_number,new_incidence_100k,case_detection_percent,continent,lifeExp,gdpPerCap,pop
Guatemala,AMR,2007,29,3900,23,80,Americas,70.259,5186.050003,12572928
Guinea,AFR,2002,221,20000,68,31,Africa,53.676,945.5835837,8807818
Guinea,AFR,2007,200,20000,93,47,Africa,56.007,942.6542111,9947814
Guinea-Bissau,AFR,2002,330,4300,121,37,Africa,45.504,575.7047176,1332459
Guinea-Bissau,AFR,2007,367,5300,NA,NA,Africa,46.388,579.231743,1472041
Haiti,AMR,2002,277,24000,137,49,Americas,58.137,1270.364932,7607651
Haiti,AMR,2007,257,25000,148,57,Americas,60.916,1201.637154,8502814
Honduras,AMR,2002,82,5600,65,80,Americas,68.565,3099.72866,6677328
Honduras,AMR,2007,45,3500,36,80,Americas,70.198,3548.330846,7483763
Hungary,EUR,2002,31,3100,27,87,Europe,72.59,14843.93556,10083313
Hungary,EUR,2007,18,1800,15,87,Europe,73.338,18008.94444,9956108
Iceland,EUR,2002,3.2,9,2.8,87,Europe,80.5,31163.20196,288030
Iceland,EUR,2007,4.5,14,3.9,87,Europe,81.757,36180.78919,301931
India,SEA,2002,287,3130000,97,34,Asia,62.879,1746.769454,1034172547
India,SEA,2007,268,3160000,110,41,Asia,64.698,2452.210407,1110396331
Indonesia,SEA,2002,367,799000,71,19,Asia,68.588,2873.91287,211060000
Indonesia,SEA,2007,353,823000,118,33,Asia,70.65,3540.651564,223547000
Iran,EMR,2002,21,14000,17,80,Asia,69.451,9240.761975,66907826
Iran,EMR,2007,16,12000,13,80,Asia,70.964,11605.71449,69453570
Iraq,EMR,2002,49,12000,48,97,Asia,57.046,4390.717312,24001816
Iraq,EMR,2007,47,13000,28,59,Asia,59.545,4471.061906,27499638
Ireland,EUR,2002,11,430,9.4,87,Europe,77.783,34077.04939,3879155
Ireland,EUR,2007,11,500,9.9,87,Europe,78.885,40675.99635,4109086
Israel,EUR,2002,8.6,540,7.5,87,Asia,79.696,21905.59514,6029529
Israel,EUR,2007,6.6,460,5.7,87,Asia,80.745,25523.2771,6426679
Italy,EUR,2002,7.8,4500,6.8,87,Europe,80.24,27968.09817,57926999
Italy,EUR,2007,5.3,3200,4.6,87,Europe,80.546,28569.7197,58147733
Jamaica,AMR,2002,4.9,130,3.9,80,Americas,72.047,6994.774861,2664659
Jamaica,AMR,2007,4.7,130,3.7,80,Americas,72.567,7320.880262,2780132
Japan,WPR,2002,30,38000,26,87,Asia,82,28604.5919,127065841
Japan,WPR,2007,22,28000,19,87,Asia,82.603,31656.06806,127467972
Jordan,EMR,2002,7.4,390,5.9,80,Asia,71.263,3844.917194,5307470
Jordan,EMR,2007,6.8,420,5.4,80,Asia,72.535,4519.461171,6053193
Kenya,AFR,2002,534,177000,241,45,Africa,50.992,1287.514732,31386842
Kenya,AFR,2007,618,235000,279,45,Africa,54.11,1463.249282,35610177
Kuwait,EMR,2002,31,670,27,87,Asia,76.904,35110.10566,2111561
Kuwait,EMR,2007,30,740,26,87,Asia,77.588,47306.98978,2505559
Lebanon,EMR,2002,14,500,12,87,Asia,71.028,9313.93883,3677780
Lebanon,EMR,2007,13,550,12,87,Asia,71.993,10461.05868,3921278
Lesotho,AFR,2002,1160,22000,532,46,Africa,44.593,1275.184575,2046772
Lesotho,AFR,2007,1260,25000,670,53,Africa,42.592,1569.331442,2012649
Liberia,AFR,2002,250,7700,112,45,Africa,43.753,531.4823679,2814651
Liberia,AFR,2007,277,9700,NA,NA,Africa,45.678,414.5073415,3193942
Libya,EMR,2002,40,2200,33,83,Africa,72.737,9534.677467,5368585
Libya,EMR,2007,40,2400,35,89,Africa,73.952,12057.49928,6036914
Madagascar,AFR,2002,280,47000,102,37,Africa,57.286,894.6370822,16473477
Madagascar,AFR,2007,252,49000,112,45,Africa,59.443,1044.770126,19167654
Malawi,AFR,2002,396,48000,205,52,Africa,45.009,665.4231186,11824495
Malawi,AFR,2007,383,53000,177,46,Africa,48.303,759.3499101,13327079
Malaysia,WPR,2002,68,17000,59,87,Asia,73.044,10206.97794,22662365
Malaysia,WPR,2007,70,19000,61,87,Asia,74.241,12451.6558,24821286
Mali,AFR,2002,74,8600,38,52,Africa,51.818,951.4097518,10580176
Mali,AFR,2007,66,9100,38,57,Africa,54.467,1042.581557,12031795
Mauritania,AFR,2002,220,6300,NA,NA,Africa,62.247,1579.019543,2828858
Mauritania,AFR,2007,160,5300,90,56,Africa,64.164,1803.151496,3270065
Mauritius,AFR,2002,14,170,12,80,Africa,71.954,9021.815894,1200206
Mauritius,AFR,2007,11,130,8.6,80,Africa,72.801,10956.99112,1250882
Mexico,AMR,2002,21,22000,17,80,Americas,74.902,10742.44053,102479927
Mexico,AMR,2007,21,23000,16,80,Americas,76.195,11977.57496,108700891
Mongolia,WPR,2002,428,10000,157,37,Asia,65.033,2140.739323,2674234
Mongolia,WPR,2007,428,11000,180,42,Asia,66.803,3095.772271,2874127
Montenegro,EUR,2007,27,170,24,87,Europe,74.543,9253.896111,684736
Morocco,EMR,2002,116,34000,101,87,Africa,69.615,3258.495584,31167783
Morocco,EMR,2007,94,29000,82,87,Africa,71.164,3820.17523,33757175
Mozambique,AFR,2002,517,99000,133,26,Africa,44.026,633.6179466,18473780
Mozambique,AFR,2007,531,118000,170,32,Africa,42.082,823.6856205,19951656
Myanmar,SEA,2002,410,193000,121,30,Asia,59.908,611,45598081
Myanmar,SEA,2007,396,195000,263,66,Asia,62.069,944,47761980
Namibia,AFR,2002,846,17000,677,80,Africa,51.479,4072.324751,1972153
Namibia,AFR,2007,833,17000,666,80,Africa,52.906,4811.060429,2055080
Nepal,SEA,2002,163,40000,124,76,Asia,61.34,1057.206311,25873917
Nepal,SEA,2007,164,43000,126,77,Asia,63.785,1091.359778,28901790
Netherlands,EUR,2002,9.7,1600,8.4,87,Europe,78.53,33724.75778,16122830
Netherlands,EUR,2007,6.5,1100,5.6,87,Europe,79.762,36797.93332,16570613
New Zealand,WPR,2002,9.5,380,8.3,87,Oceania,79.11,23189.80135,3908037
New Zealand,WPR,2007,7.4,320,6.5,87,Oceania,80.204,25185.00911,4115771
Nicaragua,AMR,2002,51,2600,40,80,Americas,70.836,2474.548819,5146848
Nicaragua,AMR,2007,52,2900,42,80,Americas,72.899,2749.320965,5675356
Niger,AFR,2002,168,21000,42,25,Africa,54.496,601.0745012,11140655
Niger,AFR,2007,129,19000,63,49,Africa,56.867,619.6768924,12894865
Nigeria,AFR,2002,219,282000,30,14,Africa,46.608,1615.286395,119901274
Nigeria,AFR,2007,219,321000,56,26,Africa,46.859,2013.977305,135031164
Norway,EUR,2002,6.1,280,5.3,87,Europe,79.05,44683.97525,4535591
Norway,EUR,2007,6.9,330,6,87,Europe,80.196,49357.19017,4627926
Oman,EMR,2002,14,330,12,87,Asia,74.193,19774.83687,2713462
Oman,EMR,2007,14,380,12,87,Asia,75.64,22316.19287,3204897
Pakistan,EMR,2002,275,398000,33,12,Asia,63.61,2092.712441,153403524
Pakistan,EMR,2007,276,442000,144,52,Asia,65.483,2605.94758,169270617
Panama,AMR,2002,63,2000,50,80,Americas,74.712,7356.031934,2990875
Panama,AMR,2007,58,2000,46,80,Americas,75.537,9809.185636,3242173
Paraguay,AMR,2002,44,2400,38,87,Americas,70.755,3783.674243,5884491
Paraguay,AMR,2007,44,2600,38,87,Americas,71.752,4172.838464,6667147
Peru,AMR,2002,170,45000,136,80,Americas,69.906,5909.020073,26769436
Peru,AMR,2007,143,41000,115,80,Americas,71.421,7408.905561,28674757
Philippines,WPR,2002,569,463000,146,26,Asia,70.303,2650.921068,82995088
Philippines,WPR,2007,520,465000,157,30,Asia,71.688,3190.481016,91077287
Poland,EUR,2002,30,12000,26,87,Europe,74.67,12002.23908,38625976
Poland,EUR,2007,24,9200,21,87,Europe,75.563,15389.92468,38518241
Portugal,EUR,2002,48,5000,42,87,Europe,77.29,19970.90787,10433867
Portugal,EUR,2007,32,3400,28,87,Europe,78.098,20509.64777,10642836
Puerto Rico,AMR,2002,3.9,150,3.4,87,Americas,77.778,18855.60618,3859606
Puerto Rico,AMR,2007,3,110,2.6,87,Americas,78.746,19328.70901,3942491
"Korea, Rep.",WPR,2002,78,37000,73,94,Asia,77.045,19233.98818,47969150
"Korea, Rep.",WPR,2007,91,45000,85,94,Asia,78.623,23348.13973,49044790
Romania,EUR,2002,157,34000,136,87,Europe,71.322,7885.360081,22404337
Romania,EUR,2007,123,26000,107,87,Europe,72.476,10808.47561,22276056
Rwanda,AFR,2002,88,7500,70,80,Africa,43.413,785.6537648,7852401
Rwanda,AFR,2007,104,9800,83,80,Africa,46.242,863.0884639,8860588
Sao Tome and Principe,AFR,2002,114,160,65,57,Africa,64.337,1353.09239,170372
Sao Tome and Principe,AFR,2007,100,160,57,57,Africa,65.528,1598.435089,199579
Saudi Arabia,EMR,2002,18,3900,15,87,Asia,71.626,19014.54118,24501530
Saudi Arabia,EMR,2007,18,4500,16,87,Asia,72.777,21654.83194,27601038
Senegal,AFR,2002,150,16000,80,54,Africa,61.6,1519.635262,10870037
Senegal,AFR,2007,138,16000,87,63,Africa,63.062,1712.472136,12267493
Serbia,EUR,2007,36,3300,32,87,Europe,74.002,9786.534714,10150265
Sierra Leone,AFR,2002,311,15000,97,31,Africa,41.012,699.489713,5359092
Sierra Leone,AFR,2007,318,19000,157,49,Africa,42.568,862.5407561,6144562
Singapore,WPR,2002,42,1700,37,87,Asia,78.77,36023.1054,4197776
Singapore,WPR,2007,33,1600,29,87,Asia,79.972,47143.17964,4553009
Slovak Republic,EUR,2002,21,1100,18,87,Europe,73.8,13638.77837,5410052
Slovak Republic,EUR,2007,13,720,12,87,Europe,74.663,18678.31435,5447502
Slovenia,EUR,2002,20,390,17,87,Europe,76.66,20660.01936,2011497
Slovenia,EUR,2007,12,250,11,87,Europe,77.926,25768.25759,2009245
Somalia,EMR,2002,285,27000,77,27,Africa,45.936,882.0818218,7753310
Somalia,EMR,2007,285,31000,101,35,Africa,48.159,926.1410683,9118773
South Africa,AFR,2002,746,351000,457,61,Africa,53.365,7710.946444,44433622
South Africa,AFR,2007,977,487000,632,65,Africa,49.339,9269.657808,43997828
Spain,EUR,2002,20,8400,17,87,Europe,79.78,24835.47166,40152517
Spain,EUR,2007,19,8400,16,87,Europe,80.941,28821.0637,40448191
Sri Lanka,SEA,2002,66,13000,47,71,Asia,70.815,3015.378833,19576783
Sri Lanka,SEA,2007,66,13000,45,68,Asia,72.396,3970.095407,20378239
Sudan,EMR,2002,124,44000,68,55,Africa,56.369,1993.398314,37090298
Sudan,EMR,2007,113,46000,71,63,Africa,58.556,2602.394995,42292929
Sweden,EUR,2002,4.8,430,4.2,87,Europe,80.04,29341.63093,8954175
Sweden,EUR,2007,5.8,530,5,87,Europe,80.884,33859.74835,9031088
Switzerland,EUR,2002,9.4,680,8.2,87,Europe,80.62,34480.95771,7361757
Switzerland,EUR,2007,6.4,480,5.6,87,Europe,81.701,37506.41907,7554661
Syria,EMR,2002,35,6000,28,80,Asia,73.053,4090.925331,17155814
Syria,EMR,2007,27,5300,21,80,Asia,74.143,4184.548089,19314747
Thailand,SEA,2002,244,156000,77,32,Asia,68.564,5913.187529,62806748
Thailand,SEA,2007,205,136000,83,40,Asia,70.616,7458.396327,65068149
Togo,AFR,2002,56,2900,31,56,Africa,57.561,886.2205765,4977378
Togo,AFR,2007,77,4600,41,53,Africa,58.42,882.9699438,5701579
Trinidad and Tobago,AMR,2002,12,150,10,87,Americas,68.976,11460.60023,1101832
Trinidad and Tobago,AMR,2007,19,250,17,87,Americas,69.819,18008.50924,1056608
Tunisia,EMR,2002,24,2400,19,80,Africa,73.042,5722.895655,9770575
Tunisia,EMR,2007,28,2900,22,80,Africa,73.923,7092.923025,10276158
Turkey,EUR,2002,32,21000,28,87,Europe,70.845,6508.085718,67308928
Turkey,EUR,2007,31,22000,27,87,Europe,71.777,8458.276384,71158647
Uganda,AFR,2002,256,66000,158,62,Africa,47.813,927.7210018,24739869
Uganda,AFR,2007,222,68000,134,60,Africa,51.542,1056.380121,29170398
United Kingdom,EUR,2002,13,7800,12,89,Europe,78.471,29478.99919,59912431
United Kingdom,EUR,2007,15,9000,13,89,Europe,79.425,33203.26128,60776238
Tanzania,AFR,2002,509,184000,167,33,Africa,49.651,899.0742111,34593779
Tanzania,AFR,2007,492,206000,142,29,Africa,52.517,1107.482182,38139640
United States,AMR,2002,6,17000,5.2,87,Americas,77.31,39097.09955,287675526
United States,AMR,2007,5.1,15000,4.4,87,Americas,78.242,42951.65309,301139947
Uruguay,AMR,2002,19,620,16,87,Americas,75.307,7727.002004,3363085
Uruguay,AMR,2007,21,700,18,87,Americas,76.384,10611.46299,3447496
Venezuela,AMR,2002,31,7800,24,80,Americas,72.766,8605.047831,24287670
Venezuela,AMR,2007,29,8100,23,80,Americas,73.747,11415.80569,26084662
Vietnam,WPR,2002,189,155000,117,62,Asia,73.017,1764.456677,80908147
Vietnam,WPR,2007,168,144000,113,68,Asia,74.249,2441.576404,85262356
West Bank and Gaza,EMR,2002,1.9,65,NA,NA,Asia,72.37,4515.487575,3389578
West Bank and Gaza,EMR,2007,1.1,41,0.88,80,Asia,73.422,3025.349798,4018332
"Yemen, Rep.",EMR,2002,102,19000,62,60,Asia,60.308,2234.820827,18701257
"Yemen, Rep.",EMR,2007,66,14000,39,59,Asia,62.698,2280.769906,22211743
Zambia,AFR,2002,695,77000,488,70,Africa,39.193,1071.613938,10595811
Zambia,AFR,2007,554,71000,364,66,Africa,42.384,1271.211593,11746035
Zimbabwe,AFR,2002,617,77000,473,77,Africa,39.989,672.0386227,11926563
Zimbabwe,AFR,2007,527,70000,302,57,Africa,43.487,469.7092981,12311143
