country,continent,year,le_gdp
Australia,Oceania,1967,71.1::14526.12465
Australia,Oceania,1972,71.93::16788.62948
Australia,Oceania,1977,73.49::18334.19751
Australia,Oceania,1982,74.74::19477.00928
Australia,Oceania,1987,76.32::21888.88903
Australia,Oceania,1992,77.56::23424.76683
Australia,Oceania,1997,78.83::26997.93657
Australia,Oceania,2002,80.37::30687.75473
Australia,Oceania,2007,81.235::34435.36744
Austria,Europe,1952,66.8::6137.076492
Austria,Europe,1957,67.48::8842.59803
Austria,Europe,1962,69.54::10750.72111
Austria,Europe,1967,70.14::12834.6024
Austria,Europe,1972,70.63::16661.6256
Austria,Europe,1977,72.17::19749.4223
Austria,Europe,1982,73.18::21597.08362
Austria,Europe,1987,74.94::23687.82607
Austria,Europe,1992,76.04::27042.01868
Austria,Europe,1997,77.51::29095.92066
Austria,Europe,2002,78.98::32417.60769
Austria,Europe,2007,79.829::36126.4927
Bahrain,Asia,1952,50.939::9867.084765
Bahrain,Asia,1957,53.832::11635.79945
Bahrain,Asia,1962,56.923::12753.27514
Bahrain,Asia,1967,59.923::14804.6727
Bahrain,Asia,1972,63.3::18268.65839
Bahrain,Asia,1977,65.593::19340.10196
Bahrain,Asia,1982,69.052::19211.14731
Bahrain,Asia,1987,70.75::18524.02406
Bahrain,Asia,1992,72.601::19035.57917
Bahrain,Asia,1997,73.925::20292.01679
Bahrain,Asia,2002,74.795::23403.55927
Bahrain,Asia,2007,75.635::29796.04834
Bangladesh,Asia,1952,37.484::684.2441716
Bangladesh,Asia,1957,39.348::661.6374577
Bangladesh,Asia,1962,41.216::686.3415538
Bangladesh,Asia,1967,43.453::721.1860862
Bangladesh,Asia,1972,45.252::630.2336265
Bangladesh,Asia,1977,46.923::659.8772322
Bangladesh,Asia,1982,50.009::676.9818656
Bangladesh,Asia,1987,52.819::751.9794035
Bangladesh,Asia,1992,56.018::837.8101643
Bangladesh,Asia,1997,59.412::972.7700352
Bangladesh,Asia,2002,62.013::1136.39043
Bangladesh,Asia,2007,64.062::1391.253792
Belgium,Europe,1952,68::8343.105127
Belgium,Europe,1957,69.24::9714.960623
Belgium,Europe,1962,70.25::10991.20676
Belgium,Europe,1967,70.94::13149.04119
Belgium,Europe,1972,71.44::16672.14356
Belgium,Europe,1977,72.8::19117.97448
Belgium,Europe,1982,73.93::20979.84589
Belgium,Europe,1987,75.35::22525.56308
Belgium,Europe,1992,76.46::25575.57069
Belgium,Europe,1997,77.53::27561.19663
Belgium,Europe,2002,78.32::30485.88375
Belgium,Europe,2007,79.441::33692.60508
Benin,Africa,1952,38.223::1062.7522
Benin,Africa,1957,40.358::959.6010805
Benin,Africa,1962,42.618::949.4990641
Benin,Africa,1967,44.885::1035.831411
Benin,Africa,1972,47.014::1085.796879
Benin,Africa,1977,49.19::1029.161251
Benin,Africa,1982,50.904::1277.897616
Benin,Africa,1987,52.337::1225.85601
Benin,Africa,1992,53.919::1191.207681
Benin,Africa,1997,54.777::1232.975292
Benin,Africa,2002,54.406::1372.877931
Benin,Africa,2007,56.728::1441.284873
Bolivia,Americas,1952,40.414::2677.326347
Bolivia,Americas,1957,41.89::2127.686326
Bolivia,Americas,1962,43.428::2180.972546
Bolivia,Americas,1967,45.032::2586.886053
Bolivia,Americas,1972,46.714::2980.331339
Bolivia,Americas,1977,50.023::3548.097832
Bolivia,Americas,1982,53.859::3156.510452
Bolivia,Americas,1987,57.251::2753.69149
Bolivia,Americas,1992,59.957::2961.699694
Bolivia,Americas,1997,62.05::3326.143191
Bolivia,Americas,2002,63.883::3413.26269
Bolivia,Americas,2007,65.554::3822.137084
Bosnia and Herzegovina,Europe,1952,53.82::973.5331948
Bosnia and Herzegovina,Europe,1957,58.45::1353.989176
Bosnia and Herzegovina,Europe,1962,61.93::1709.683679
Bosnia and Herzegovina,Europe,1967,64.79::2172.352423
Bosnia and Herzegovina,Europe,1972,67.45::2860.16975
Bosnia and Herzegovina,Europe,1977,69.86::3528.481305
Bosnia and Herzegovina,Europe,1982,70.69::4126.613157
Bosnia and Herzegovina,Europe,1987,71.14::4314.114757
Bosnia and Herzegovina,Europe,1992,72.178::2546.781445
Bosnia and Herzegovina,Europe,1997,73.244::4766.355904
Bosnia and Herzegovina,Europe,2002,74.09::6018.975239
Bosnia and Herzegovina,Europe,2007,74.852::7446.298803
Botswana,Africa,1952,47.622::851.2411407
Botswana,Africa,1957,49.618::918.2325349
Botswana,Africa,1962,51.52::983.6539764
Botswana,Africa,1967,53.298::1214.709294
Botswana,Africa,1972,56.024::2263.611114
Botswana,Africa,1977,59.319::3214.857818
Botswana,Africa,1982,61.484::4551.14215
Botswana,Africa,1987,63.622::6205.88385
Botswana,Africa,1992,62.745::7954.111645
Botswana,Africa,1997,52.556::8647.142313
Botswana,Africa,2002,46.634::11003.60508
Botswana,Africa,2007,50.728::12569.85177
Brazil,Americas,1952,50.917::2108.944355
Brazil,Americas,1957,53.285::2487.365989
Brazil,Americas,1962,55.665::3336.585802
Brazil,Americas,1967,57.632::3429.864357
Brazil,Americas,1972,59.504::4985.711467
Brazil,Americas,1977,61.489::6660.118654
Brazil,Americas,1982,63.336::7030.835878
Brazil,Americas,1987,65.205::7807.095818
Brazil,Americas,1992,67.057::6950.283021
Brazil,Americas,1997,69.388::7957.980824
Brazil,Americas,2002,71.006::8131.212843
Brazil,Americas,2007,72.39::9065.800825
Bulgaria,Europe,1952,59.6::2444.286648
Bulgaria,Europe,1957,66.61::3008.670727
Bulgaria,Europe,1962,69.51::4254.337839
Bulgaria,Europe,1967,70.42::5577.0028
Bulgaria,Europe,1972,70.9::6597.494398
Bulgaria,Europe,1977,70.81::7612.240438
Bulgaria,Europe,1982,71.08::8224.191647
Bulgaria,Europe,1987,71.34::8239.854824
Bulgaria,Europe,1992,71.19::6302.623438
Bulgaria,Europe,1997,70.32::5970.38876
Bulgaria,Europe,2002,72.14::7696.777725
Bulgaria,Europe,2007,73.005::10680.79282
Burkina Faso,Africa,1952,31.975::543.2552413
Burkina Faso,Africa,1957,34.906::617.1834648
Burkina Faso,Africa,1962,37.814::722.5120206
Burkina Faso,Africa,1967,40.697::794.8265597
Burkina Faso,Africa,1972,43.591::854.7359763
Burkina Faso,Africa,1977,46.137::743.3870368
Burkina Faso,Africa,1982,48.122::807.1985855
Burkina Faso,Africa,1987,49.557::912.0631417
Burkina Faso,Africa,1992,50.26::931.7527731
Burkina Faso,Africa,1997,50.324::946.2949618
Burkina Faso,Africa,2002,50.65::1037.645221
Burkina Faso,Africa,2007,52.295::1217.032994
Burundi,Africa,1952,39.031::339.2964587
Burundi,Africa,1957,40.533::379.5646281
Burundi,Africa,1962,42.045::355.2032273
Burundi,Africa,1967,43.548::412.9775136
Burundi,Africa,1972,44.057::464.0995039
Burundi,Africa,1977,45.91::556.1032651
Burundi,Africa,1982,47.471::559.603231
Burundi,Africa,1987,48.211::621.8188189
Burundi,Africa,1992,44.736::631.6998778
Burundi,Africa,1997,45.326::463.1151478
Burundi,Africa,2002,47.36::446.4035126
Burundi,Africa,2007,49.58::430.0706916
Cambodia,Asia,1952,39.417::368.4692856
Cambodia,Asia,1957,41.366::434.0383364
Cambodia,Asia,1962,43.415::496.9136476
Cambodia,Asia,1967,45.415::523.4323142
Cambodia,Asia,1972,40.317::421.6240257
Cambodia,Asia,1977,31.22::524.9721832
Cambodia,Asia,1982,50.957::624.4754784
Cambodia,Asia,1987,53.914::683.8955732
Cambodia,Asia,1992,55.803::682.3031755
Cambodia,Asia,1997,56.534::734.28517
Cambodia,Asia,2002,56.752::896.2260153
Cambodia,Asia,2007,59.723::1713.778686
Cameroon,Africa,1952,38.523::1172.667655
Cameroon,Africa,1957,40.428::1313.048099
Cameroon,Africa,1962,42.643::1399.607441
Cameroon,Africa,1967,44.799::1508.453148
Cameroon,Africa,1972,47.049::1684.146528
Cameroon,Africa,1977,49.355::1783.432873
Cameroon,Africa,1982,52.961::2367.983282
Cameroon,Africa,1987,54.985::2602.664206
Cameroon,Africa,1992,54.314::1793.163278
Cameroon,Africa,1997,52.199::1694.337469
Cameroon,Africa,2002,49.856::1934.011449
Cameroon,Africa,2007,50.43::2042.09524
Canada,Americas,1952,68.75::11367.16112
Canada,Americas,1957,69.96::12489.95006
Canada,Americas,1962,71.3::13462.48555
Canada,Americas,1967,72.13::16076.58803
Canada,Americas,1972,72.88::18970.57086
Canada,Americas,1977,74.21::22090.88306
Canada,Americas,1982,75.76::22898.79214
Canada,Americas,1987,76.86::26626.51503
Canada,Americas,1992,77.95::26342.88426
Canada,Americas,1997,78.61::28954.92589
Canada,Americas,2002,79.77::33328.96507
Canada,Americas,2007,80.653::36319.23501
Central African Republic,Africa,1952,35.463::1071.310713
Central African Republic,Africa,1957,37.464::1190.844328
Central African Republic,Africa,1962,39.475::1193.068753
Central African Republic,Africa,1967,41.478::1136.056615
Central African Republic,Africa,1972,43.457::1070.013275
Central African Republic,Africa,1977,46.775::1109.374338
Central African Republic,Africa,1982,48.295::956.7529907
Central African Republic,Africa,1987,50.485::844.8763504
Central African Republic,Africa,1992,49.396::747.9055252
Central African Republic,Africa,1997,46.066::740.5063317
Central African Republic,Africa,2002,43.308::738.6906068
Central African Republic,Africa,2007,44.741::706.016537
Chad,Africa,1952,38.092::1178.665927
Chad,Africa,1957,39.881::1308.495577
Chad,Africa,1962,41.716::1389.817618
Chad,Africa,1967,43.601::1196.810565
Chad,Africa,1972,45.569::1104.103987
Chad,Africa,1977,47.383::1133.98495
Chad,Africa,1982,49.517::797.9081006
Chad,Africa,1987,51.051::952.386129
Chad,Africa,1992,51.724::1058.0643
Chad,Africa,1997,51.573::1004.961353
Chad,Africa,2002,50.525::1156.18186
Chad,Africa,2007,50.651::1704.063724
Chile,Americas,1952,54.745::3939.978789
Chile,Americas,1957,56.074::4315.622723
Chile,Americas,1962,57.924::4519.094331
Chile,Americas,1967,60.523::5106.654313
Chile,Americas,1972,63.441::5494.024437
Chile,Americas,1977,67.052::4756.763836
Chile,Americas,1982,70.565::5095.665738
Chile,Americas,1987,72.492::5547.063754
Chile,Americas,1992,74.126::7596.125964
Chile,Americas,1997,75.816::10118.05318
Chile,Americas,2002,77.86::10778.78385
Chile,Americas,2007,78.553::13171.63885
China,Asia,1952,44::400.4486107
China,Asia,1957,50.54896::575.9870009
China,Asia,1962,44.50136::487.6740183
China,Asia,1967,58.38112::612.7056934
China,Asia,1972,63.11888::676.9000921
China,Asia,1977,63.96736::741.2374699
China,Asia,1982,65.525::962.4213805
China,Asia,1987,67.274::1378.904018
China,Asia,1992,68.69::1655.784158
China,Asia,1997,70.426::2289.234136
China,Asia,2002,72.028::3119.280896
China,Asia,2007,72.961::4959.114854
Colombia,Americas,1952,50.643::2144.115096
Colombia,Americas,1957,55.118::2323.805581
Colombia,Americas,1962,57.863::2492.351109
Colombia,Americas,1967,59.963::2678.729839
Colombia,Americas,1972,61.623::3264.660041
Colombia,Americas,1977,63.837::3815.80787
Colombia,Americas,1982,66.653::4397.575659
Colombia,Americas,1987,67.768::4903.2191
Colombia,Americas,1992,68.421::5444.648617
Colombia,Americas,1997,70.313::6117.361746
Colombia,Americas,2002,71.682::5755.259962
Colombia,Americas,2007,72.889::7006.580419
Comoros,Africa,1952,40.715::1102.990936
Comoros,Africa,1957,42.46::1211.148548
Comoros,Africa,1962,44.467::1406.648278
Comoros,Africa,1967,46.472::1876.029643
Comoros,Africa,1972,48.944::1937.577675
Comoros,Africa,1977,50.939::1172.603047
Comoros,Africa,1982,52.933::1267.100083
Comoros,Africa,1987,54.926::1315.980812
Comoros,Africa,1992,57.939::1246.90737
Comoros,Africa,1997,60.66::1173.618235
Comoros,Africa,2002,62.974::1075.811558
Comoros,Africa,2007,65.152::986.1478792
"Congo, Dem. Rep.",Africa,1952,39.143::780.5423257
"Congo, Dem. Rep.",Africa,1957,40.652::905.8602303
"Congo, Dem. Rep.",Africa,1962,42.122::896.3146335
"Congo, Dem. Rep.",Africa,1967,44.056::861.5932424
"Congo, Dem. Rep.",Africa,1972,45.989::904.8960685
"Congo, Dem. Rep.",Africa,1977,47.804::795.757282
"Congo, Dem. Rep.",Africa,1982,47.784::673.7478181
"Congo, Dem. Rep.",Africa,1987,47.412::672.774812
"Congo, Dem. Rep.",Africa,1992,45.548::457.7191807
"Congo, Dem. Rep.",Africa,1997,42.587::312.188423
"Congo, Dem. Rep.",Africa,2002,44.966::241.1658765
"Congo, Dem. Rep.",Africa,2007,46.462::277.5518587
"Congo, Rep.",Africa,1952,42.111::2125.621418
"Congo, Rep.",Africa,1957,45.053::2315.056572
"Congo, Rep.",Africa,1962,48.435::2464.783157
"Congo, Rep.",Africa,1967,52.04::2677.939642
"Congo, Rep.",Africa,1972,54.907::3213.152683
"Congo, Rep.",Africa,1977,55.625::3259.178978
"Congo, Rep.",Africa,1982,56.695::4879.507522
"Congo, Rep.",Africa,1987,57.47::4201.194937
"Congo, Rep.",Africa,1992,56.433::4016.239529
"Congo, Rep.",Africa,1997,52.962::3484.164376
"Congo, Rep.",Africa,2002,52.97::3484.06197
"Congo, Rep.",Africa,2007,55.322::3632.557798
Costa Rica,Americas,1952,57.206::2627.009471
Costa Rica,Americas,1957,60.026::2990.010802
Costa Rica,Americas,1962,62.842::3460.937025
Costa Rica,Americas,1967,65.424::4161.727834
Costa Rica,Americas,1972,67.849::5118.146939
Costa Rica,Americas,1977,70.75::5926.876967
Costa Rica,Americas,1982,73.45::5262.734751
Costa Rica,Americas,1987,74.752::5629.915318
Costa Rica,Americas,1992,75.713::6160.416317
Costa Rica,Americas,1997,77.26::6677.045314
Costa Rica,Americas,2002,78.123::7723.447195
Costa Rica,Americas,2007,78.782::9645.06142
Cote d'Ivoire,Africa,1952,40.477::1388.594732
Cote d'Ivoire,Africa,1957,42.469::1500.895925
Cote d'Ivoire,Africa,1962,44.93::1728.869428
Cote d'Ivoire,Africa,1967,47.35::2052.050473
Cote d'Ivoire,Africa,1972,49.801::2378.201111
Cote d'Ivoire,Africa,1977,52.374::2517.736547
Cote d'Ivoire,Africa,1982,53.983::2602.710169
Cote d'Ivoire,Africa,1987,54.655::2156.956069
Cote d'Ivoire,Africa,1992,52.044::1648.073791
Cote d'Ivoire,Africa,1997,47.991::1786.265407
Cote d'Ivoire,Africa,2002,46.832::1648.800823
Cote d'Ivoire,Africa,2007,48.328::1544.750112
Croatia,Europe,1952,61.21::3119.23652
Croatia,Europe,1957,64.77::4338.231617
Croatia,Europe,1962,67.13::5477.890018
Croatia,Europe,1967,68.5::6960.297861
Croatia,Europe,1972,69.61::9164.090127
Croatia,Europe,1977,70.64::11305.38517
Croatia,Europe,1982,70.46::13221.82184
Croatia,Europe,1987,71.52::13822.58394
Croatia,Europe,1992,72.527::8447.794873
Croatia,Europe,1997,73.68::9875.604515
Croatia,Europe,2002,74.876::11628.38895
Croatia,Europe,2007,75.748::14619.22272
Cuba,Americas,1952,59.421::5586.53878
Cuba,Americas,1957,62.325::6092.174359
Cuba,Americas,1962,65.246::5180.75591
Cuba,Americas,1967,68.29::5690.268015
Cuba,Americas,1972,70.723::5305.445256
Cuba,Americas,1977,72.649::6380.494966
Cuba,Americas,1982,73.717::7316.918107
Cuba,Americas,1987,74.174::7532.924763
Cuba,Americas,1992,74.414::5592.843963
Cuba,Americas,1997,76.151::5431.990415
Cuba,Americas,2002,77.158::6340.646683
Cuba,Americas,2007,78.273::8948.102923
Czech Republic,Europe,1952,66.87::6876.14025
Czech Republic,Europe,1957,69.03::8256.343918
Czech Republic,Europe,1962,69.9::10136.86713
Czech Republic,Europe,1967,70.38::11399.44489
Czech Republic,Europe,1972,70.29::13108.4536
Czech Republic,Europe,1977,70.71::14800.16062
Czech Republic,Europe,1982,70.96::15377.22855
Czech Republic,Europe,1987,71.58::16310.4434
Czech Republic,Europe,1992,72.4::14297.02122
Czech Republic,Europe,1997,74.01::16048.51424
Czech Republic,Europe,2002,75.51::17596.21022
Czech Republic,Europe,2007,76.486::22833.30851
Denmark,Europe,1952,70.78::9692.385245
Denmark,Europe,1957,71.81::11099.65935
Denmark,Europe,1962,72.35::13583.31351
Denmark,Europe,1967,72.96::15937.21123
Denmark,Europe,1972,73.47::18866.20721
Denmark,Europe,1977,74.69::20422.9015
Denmark,Europe,1982,74.63::21688.04048
Denmark,Europe,1987,74.8::25116.17581
Denmark,Europe,1992,75.33::26406.73985
Denmark,Europe,1997,76.11::29804.34567
Denmark,Europe,2002,77.18::32166.50006
Denmark,Europe,2007,78.332::35278.41874
Djibouti,Africa,1952,34.812::2669.529475
Djibouti,Africa,1957,37.328::2864.969076
Djibouti,Africa,1962,39.693::3020.989263
Djibouti,Africa,1967,42.074::3020.050513
Djibouti,Africa,1972,44.366::3694.212352
Djibouti,Africa,1977,46.519::3081.761022
Djibouti,Africa,1982,48.812::2879.468067
Djibouti,Africa,1987,50.04::2880.102568
Djibouti,Africa,1992,51.604::2377.156192
Djibouti,Africa,1997,53.157::1895.016984
Djibouti,Africa,2002,53.373::1908.260867
Djibouti,Africa,2007,54.791::2082.481567
Dominican Republic,Americas,1952,45.928::1397.717137
Dominican Republic,Americas,1957,49.828::1544.402995
Dominican Republic,Americas,1962,53.459::1662.137359
Dominican Republic,Americas,1967,56.751::1653.723003
Dominican Republic,Americas,1972,59.631::2189.874499
Dominican Republic,Americas,1977,61.788::2681.9889
Dominican Republic,Americas,1982,63.727::2861.092386
Dominican Republic,Americas,1987,66.046::2899.842175
Dominican Republic,Americas,1992,68.457::3044.214214
Dominican Republic,Americas,1997,69.957::3614.101285
Dominican Republic,Americas,2002,70.847::4563.808154
Dominican Republic,Americas,2007,72.235::6025.374752
Ecuador,Americas,1952,48.357::3522.110717
Ecuador,Americas,1957,51.356::3780.546651
Ecuador,Americas,1962,54.64::4086.114078
Ecuador,Americas,1967,56.678::4579.074215
Ecuador,Americas,1972,58.796::5280.99471
Ecuador,Americas,1977,61.31::6679.62326
Ecuador,Americas,1982,64.342::7213.791267
Ecuador,Americas,1987,67.231::6481.776993
Ecuador,Americas,1992,69.613::7103.702595
Ecuador,Americas,1997,72.312::7429.455877
Ecuador,Americas,2002,74.173::5773.044512
Ecuador,Americas,2007,74.994::6873.262326
Egypt,Africa,1952,41.893::1418.822445
Egypt,Africa,1957,44.444::1458.915272
Egypt,Africa,1962,46.992::1693.335853
Egypt,Africa,1967,49.293::1814.880728
Egypt,Africa,1972,51.137::2024.008147
Egypt,Africa,1977,53.319::2785.493582
Egypt,Africa,1982,56.006::3503.729636
Egypt,Africa,1987,59.797::3885.46071
Egypt,Africa,1992,63.674::3794.755195
Egypt,Africa,1997,67.217::4173.181797
Egypt,Africa,2002,69.806::4754.604414
Egypt,Africa,2007,71.338::5581.180998
El Salvador,Americas,1952,45.262::3048.3029
El Salvador,Americas,1957,48.57::3421.523218
El Salvador,Americas,1962,52.307::3776.803627
El Salvador,Americas,1967,55.855::4358.595393
El Salvador,Americas,1972,58.207::4520.246008
El Salvador,Americas,1977,56.696::5138.922374
El Salvador,Americas,1982,56.604::4098.344175
El Salvador,Americas,1987,63.154::4140.442097
El Salvador,Americas,1992,66.798::4444.2317
El Salvador,Americas,1997,69.535::5154.825496
El Salvador,Americas,2002,70.734::5351.568666
El Salvador,Americas,2007,71.878::5728.353514
Equatorial Guinea,Africa,1952,34.482::375.6431231
Equatorial Guinea,Africa,1957,35.983::426.0964081
Equatorial Guinea,Africa,1962,37.485::582.8419714
Equatorial Guinea,Africa,1967,38.987::915.5960025
Equatorial Guinea,Africa,1972,40.516::672.4122571
Equatorial Guinea,Africa,1977,42.024::958.5668124
Equatorial Guinea,Africa,1982,43.662::927.8253427
Equatorial Guinea,Africa,1987,45.664::966.8968149
Equatorial Guinea,Africa,1992,47.545::1132.055034
Equatorial Guinea,Africa,1997,48.245::2814.480755
Equatorial Guinea,Africa,2002,49.348::7703.4959
Equatorial Guinea,Africa,2007,51.579::12154.08975
Eritrea,Africa,1952,35.928::328.9405571
Eritrea,Africa,1957,38.047::344.1618859
Eritrea,Africa,1962,40.158::380.9958433
Eritrea,Africa,1967,42.189::468.7949699
Eritrea,Africa,1972,44.142::514.3242082
Eritrea,Africa,1977,44.535::505.7538077
Eritrea,Africa,1982,43.89::524.8758493
Eritrea,Africa,1987,46.453::521.1341333
Eritrea,Africa,1992,49.991::582.8585102
Eritrea,Africa,1997,53.378::913.47079
Eritrea,Africa,2002,55.24::765.3500015
Eritrea,Africa,2007,58.04::641.3695236
Ethiopia,Africa,1952,34.078::362.1462796
Ethiopia,Africa,1957,36.667::378.9041632
Ethiopia,Africa,1962,40.059::419.4564161
Ethiopia,Africa,1967,42.115::516.1186438
Ethiopia,Africa,1972,43.515::566.2439442
Ethiopia,Africa,1977,44.51::556.8083834
Ethiopia,Africa,1982,44.916::577.8607471
Ethiopia,Africa,1987,46.684::573.7413142
Ethiopia,Africa,1992,48.091::421.3534653
Ethiopia,Africa,1997,49.402::515.8894013
Ethiopia,Africa,2002,50.725::530.0535319
Ethiopia,Africa,2007,52.947::690.8055759
Finland,Europe,1952,66.55::6424.519071
Finland,Europe,1957,67.49::7545.415386
Finland,Europe,1962,68.75::9371.842561
Finland,Europe,1967,69.83::10921.63626
Finland,Europe,1972,70.87::14358.8759
Finland,Europe,1977,72.52::15605.42283
Finland,Europe,1982,74.55::18533.15761
Finland,Europe,1987,74.83::21141.01223
Finland,Europe,1992,75.7::20647.16499
Finland,Europe,1997,77.13::23723.9502
Finland,Europe,2002,78.37::28204.59057
Finland,Europe,2007,79.313::33207.0844
France,Europe,1952,67.41::7029.809327
France,Europe,1957,68.93::8662.834898
France,Europe,1962,70.51::10560.48553
France,Europe,1967,71.55::12999.91766
France,Europe,1972,72.38::16107.19171
France,Europe,1977,73.83::18292.63514
France,Europe,1982,74.89::20293.89746
France,Europe,1987,76.34::22066.44214
France,Europe,1992,77.46::24703.79615
France,Europe,1997,78.64::25889.78487
France,Europe,2002,79.59::28926.03234
France,Europe,2007,80.657::30470.0167
Gabon,Africa,1952,37.003::4293.476475
Gabon,Africa,1957,38.999::4976.198099
Gabon,Africa,1962,40.489::6631.459222
Gabon,Africa,1967,44.598::8358.761987
Gabon,Africa,1972,48.69::11401.94841
Gabon,Africa,1977,52.79::21745.57328
Gabon,Africa,1982,56.564::15113.36194
Gabon,Africa,1987,60.19::11864.40844
Gabon,Africa,1992,61.366::13522.15752
Gabon,Africa,1997,60.461::14722.84188
Gabon,Africa,2002,56.761::12521.71392
Gabon,Africa,2007,56.735::13206.48452
Gambia,Africa,1952,30::485.2306591
Gambia,Africa,1957,32.065::520.9267111
Gambia,Africa,1962,33.896::599.650276
Gambia,Africa,1967,35.857::734.7829124
Gambia,Africa,1972,38.308::756.0868363
Gambia,Africa,1977,41.842::884.7552507
Gambia,Africa,1982,45.58::835.8096108
Gambia,Africa,1987,49.265::611.6588611
Gambia,Africa,1992,52.644::665.6244126
Gambia,Africa,1997,55.861::653.7301704
Gambia,Africa,2002,58.041::660.5855997
Gambia,Africa,2007,59.448::752.7497265
Germany,Europe,1952,67.5::7144.114393
Germany,Europe,1957,69.1::10187.82665
Germany,Europe,1962,70.3::12902.46291
Germany,Europe,1967,70.8::14745.62561
Germany,Europe,1972,71::18016.18027
Germany,Europe,1977,72.5::20512.92123
Germany,Europe,1982,73.8::22031.53274
Germany,Europe,1987,74.847::24639.18566
Germany,Europe,1992,76.07::26505.30317
Germany,Europe,1997,77.34::27788.88416
Germany,Europe,2002,78.67::30035.80198
Germany,Europe,2007,79.406::32170.37442
Ghana,Africa,1952,43.149::911.2989371
Ghana,Africa,1957,44.779::1043.561537
Ghana,Africa,1962,46.452::1190.041118
Ghana,Africa,1967,48.072::1125.69716
Ghana,Africa,1972,49.875::1178.223708
Ghana,Africa,1977,51.756::993.2239571
Ghana,Africa,1982,53.744::876.032569
Ghana,Africa,1987,55.729::847.0061135
Ghana,Africa,1992,57.501::925.060154
Ghana,Africa,1997,58.556::1005.245812
Ghana,Africa,2002,58.453::1111.984578
Ghana,Africa,2007,60.022::1327.60891
Greece,Europe,1952,65.86::3530.690067
Greece,Europe,1957,67.86::4916.299889
Greece,Europe,1962,69.51::6017.190733
Greece,Europe,1967,71::8513.097016
Greece,Europe,1972,72.34::12724.82957
Greece,Europe,1977,73.68::14195.52428
Greece,Europe,1982,75.24::15268.42089
Greece,Europe,1987,76.67::16120.52839
Greece,Europe,1992,77.03::17541.49634
Greece,Europe,1997,77.869::18747.69814
Greece,Europe,2002,78.256::22514.2548
Greece,Europe,2007,79.483::27538.41188
Guatemala,Americas,1952,42.023::2428.237769
Guatemala,Americas,1957,44.142::2617.155967
Guatemala,Americas,1962,46.954::2750.364446
Guatemala,Americas,1967,50.016::3242.531147
Guatemala,Americas,1972,53.738::4031.408271
Guatemala,Americas,1977,56.029::4879.992748
Guatemala,Americas,1982,58.137::4820.49479
Guatemala,Americas,1987,60.782::4246.485974
Guatemala,Americas,1992,63.373::4439.45084
Guatemala,Americas,1997,66.322::4684.313807
Guatemala,Americas,2002,68.978::4858.347495
