old_country,new_country
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
North Macedonia,North Macedonia
Northern Mariana Islands,Northern Mariana Islands
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Republic of Korea,"Korea, Rep."
Republic of Moldova,Republic of Moldova
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Serbia & Montenegro,Serbia & Montenegro
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten (Dutch part),Sint Maarten (Dutch part)
Slovakia,Slovak Republic
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syria
Tajikistan,Tajikistan
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,United Kingdom
United Republic of Tanzania,Tanzania
United States of America,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
Wallis and Futuna Islands,Wallis and Futuna Islands
West Bank and Gaza Strip,West Bank and Gaza
Yemen,"Yemen, Rep."
Zambia,Zambia
Zimbabwe,Zimbabwe
